AtomicNumber,Element,Symbol,Element Type
1,Hydrogen,H,Nonmetal
2,Helium,He,Nonmetal
3,Lithium,Li,Metal
4,Beryllium,Be,Metal
5,Boron,B,Metalloid
6,Carbon,C,Nonmetal
7,Nitrogen,N,Nonmetal
8,Oxygen,O,Nonmetal
9,Fluorine,F,Nonmetal
10,Neon,Ne,Nonmetal
11,Sodium,Na,Metal
12,Magnesium,Mg,Metal
13,Aluminum,Al,Metal
14,Silicon,Si,Metalloid
15,Phosphorus,P,Nonmetal
16,Sulfur,S,Nonmetal
17,Chlorine,Cl,Nonmetal
18,Argon,Ar,Nonmetal
19,Potassium,K,Metal
20,Calcium,Ca,Metal
21,Scandium,Sc,Metal
22,Titanium,Ti,Metal
23,Vanadium,V,Metal
24,Chromium,Cr,Metal
25,Manganese,Mn,Metal
26,Iron,Fe,Metal
27,Cobalt,Co,Metal
28,Nickel,Ni,Metal
29,Copper,Cu,Metal
30,Zinc,Zn,Metal
31,Gallium,Ga,Metal
32,Germanium,Ge,Metalloid
33,Arsenic,As,Metalloid
34,Selenium,Se,Nonmetal
35,Bromine,Br,Nonmetal
36,Krypton,Kr,Nonmetal
37,Rubidium,Rb,Metal
38,Strontium,Sr,Metal
39,Yttrium,Y,Metal
40,Zirconium,Zr,Metal
41,Niobium,Nb,Metal
42,Molybdenum,Mo,Metal
43,Technetium,Tc,Metal
44,Ruthenium,Ru,Metal
45,Rhodium,Rh,Metal
46,Palladium,Pd,Metal
47,Silver,Ag,Metal
48,Cadmium,Cd,Metal
49,Indium,In,Metal
50,Tin,Sn,Metal
51,Antimony,Sb,Metalloid
52,Tellurium,Te,Metalloid
53,Iodine,I,Nonmetal
54,Xenon,Xe,Nonmetal
55,Cesium,Cs,Metal
56,Barium,Ba,Metal
57,Lanthanum,La,Metal
58,Cerium,Ce,Metal
59,Praseodymium,Pr,Metal
60,Neodymium,Nd,Metal
61,Promethium,Pm,Metal
62,Samarium,Sm,Metal
63,Europium,Eu,Metal
64,Gadolinium,Gd,Metal
65,Terbium,Tb,Metal
66,Dysprosium,Dy,Metal
67,Holmium,Ho,Metal
68,Erbium,Er,Metal
69,Thulium,Tm,Metal
70,Ytterbium,Yb,Metal
71,Lutetium,Lu,Metal
72,Hafnium,Hf,Metal
73,Tantalum,Ta,Metal
74,Wolfram,W,Metal
75,Rhenium,Re,Metal
76,Osmium,Os,Metal
77,Iridium,Ir,Metal
78,Platinum,Pt,Metal
79,Gold,Au,Metal
80,Mercury,Hg,Metal
81,Thallium,Tl,Metal
82,Lead,Pb,Metal
83,Bismuth,Bi,Metal
84,Polonium,Po,Metalloid
85,Astatine,At,Nonmetal
86,Radon,Rn,Metal
87,Francium,Fr,Metal
88,Radium,Ra,Metal
89,Actinium,Ac,Metal
90,Thorium,Th,Metal
91,Protactinium,Pa,Metal
92,Uranium,U,Metal
93,Neptunium,Np,Metal
94,Plutonium,Pu,Metal
95,Americium,Am,Metal
96,Curium,Cm,Metal
97,Berkelium,Bk,Metal
98,Californium,Cf,Metal
99,Einsteinium,Es,Metal
100,Fermium,Fm,Metal
101,Mendelevium,Md,Metal
102,Nobelium,No,Metal
103,Lawrencium,Lr,Metal
104,Rutherfordium,Rf,Metal
105,Dubnium,Db,Metal
106,Seaborgium,Sg,Metal
107,Bohrium,Bh,Metal
108,Hassium,Hs,Metal
109,Meitnerium,Mt,Metal
110,Darmstadtium,Ds,Metal
111,Roentgenium,Rg,Metal
112,Copernicium,Cn,Metal
113,Nihonium,Nh,Metal
114,Flerovium,Fl,Metal
115,Moscovium,Mc,Metal
116,Livermorium,Lv,Metal
117,Tennessine,Ts,Nonmetal
118,Oganesson,Og,Nonmetal