Name,Formula
Ammonium,NH4(+)
Nitrite,NO2(−)
Nitrate,NO3(−)
Sulfite,SO3(2−)
Sulfate,SO4(2−)
Hydrogen Sulfate,HSO4(−)
Bisulfate,HSO4(-)
Thiosulfate,S2O3(2−)
Oxalate,C2O4(2−)
Hydroxide,OH(−)
Phosphite,PO3(3−)
Phosphate,PO4(3−)
Hydrogen Phosphate,HPO4(2−)
Dihydrogen Phosphate,H2PO4(−)
Perchlorate,ClO4(−)
Chlorate,ClO3(−)
Chlorite,ClO2(−)
Hypochlorite,ClO(−)
Bromate,BrO3(−)
Iodate,IO3(−)
Acetate,CH3COO(−)
Acetate,C2H3O2(−)
Carbonate,CO3(2−)
Hydrogen carbonate,HC03(-)
Bicarbonate,HCO3(−)
Chromate,CrO4(2−)
Dichromate,Cr2O7(2−)
Permanganate,MnO4(−)
Peroxide,O2(2−)
Cyanide,CN(−)
Cyanate,OCN(−)
Thiocyanate,SCN(−)
Arsenate,AsO4(3-)
Borate,BO3(3-)
Silicate,SiO3(2-)
Hydronium,H3O(+)